Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2023-09-28 00:00:00-04:00,419.80322441230777,424.50957187081406,419.20134742115545,422.8026428222656,92258300,0.0,0.0,0.0
2023-09-29 00:00:00-04:00,425.9106186856745,426.08820987689984,420.2274596831936,421.7765197753906,115078500,0.0,0.0,0.0
2023-10-02 00:00:00-04:00,420.9279987895091,422.88159231910305,418.796814060064,421.6087951660156,83798600,0.0,0.0,0.0
2023-10-03 00:00:00-04:00,419.38879190468685,421.66796917605046,414.5738966803731,415.965087890625,103760600,0.0,0.0,0.0
2023-10-04 00:00:00-04:00,416.4387306501877,419.75388692883104,414.9488675015295,418.9941711425781,87453000,0.0,0.0,0.0
2023-10-05 00:00:00-04:00,418.6981266361296,419.6946607377156,415.55071567695967,418.8362731933594,70142700,0.0,0.0,0.0
2023-10-06 00:00:00-04:00,416.3400138508027,425.37780336314614,414.9882974150008,423.80902099609375,113202700,0.0,0.0,0.0
2023-10-09 00:00:00-04:00,421.87515862202014,427.10446339698456,421.312786520276,426.5223388671875,80374400,0.0,0.0,0.0
2023-10-10 00:00:00-04:00,427.1636509919115,431.3865453756496,426.7591176611057,428.7423095703125,78607300,0.0,0.0,0.0
2023-10-11 00:00:00-04:00,429.8276455540111,430.7550762429297,427.40044553343614,430.4985656738281,62451700,0.0,0.0,0.0
2023-10-12 00:00:00-04:00,431.12016676643947,431.5049476769219,425.47648256623086,427.8740539550781,81154200,0.0,0.0,0.0
2023-10-13 00:00:00-04:00,429.4033202702074,430.62679638184807,424.1444475970998,425.7428283691406,95143100,0.0,0.0,0.0
2023-10-16 00:00:00-04:00,428.0319388070469,431.30765027227886,427.78527433123867,430.2223205566406,75433200,0.0,0.0,0.0
2023-10-17 00:00:00-04:00,427.03541218950534,432.2943157679293,426.6802297911,430.20257568359375,75324700,0.0,0.0,0.0
2023-10-18 00:00:00-04:00,428.39697131120636,429.37375294056034,423.3650102892351,424.4700622558594,93559800,0.0,0.0,0.0
2023-10-19 00:00:00-04:00,425.2002218842738,427.0452672868219,420.049866589208,420.7405090332031,121323000,0.0,0.0,0.0
2023-10-20 00:00:00-04:00,420.29653424283646,420.84906024638394,415.4618865461823,415.5704345703125,123845800,0.0,0.0,0.0
2023-10-23 00:00:00-04:00,414.0114934816397,418.7869440592636,412.2256451496376,414.85015869140625,92035100,0.0,0.0,0.0
2023-10-24 00:00:00-04:00,417.01096965865804,419.1520306233802,415.12644939203074,417.9779052734375,78564200,0.0,0.0,0.0
2023-10-25 00:00:00-04:00,416.26112579132814,416.29072432461624,411.4560764112203,411.97900390625,94223200,0.0,0.0,0.0
2023-10-26 00:00:00-04:00,410.893674525731,411.7619081427824,406.1083779212611,407.0456848144531,115156800,0.0,0.0,0.0
2023-10-27 00:00:00-04:00,408.6638626670359,409.06839604369304,403.75029518882275,405.20068359375,107367700,0.0,0.0,0.0
2023-10-30 00:00:00-04:00,408.0422212511869,411.12058894976894,406.7201033350219,410.0451354980469,86562700,0.0,0.0,0.0
2023-10-31 00:00:00-04:00,410.6272626544046,412.94591465711994,408.6835454577124,412.6203308105469,79665200,0.0,0.0,0.0
2023-11-01 00:00:00-04:00,413.607015505533,417.8496325522178,413.06433557882934,417.0208435058594,98068100,0.0,0.0,0.0
2023-11-02 00:00:00-04:00,420.8885337630543,425.1706557499963,420.8688114438632,425.0127868652344,94938900,0.0,0.0,0.0
2023-11-03 00:00:00-04:00,427.3610425504554,430.46900909730465,427.2327721981988,428.8903503417969,100110800,0.0,0.0,0.0
2023-11-06 00:00:00-05:00,429.6599176997665,430.3308378464898,427.8937916246359,429.8769836425781,67831700,0.0,0.0,0.0
2023-11-07 00:00:00-05:00,429.87695674568414,431.75160061972144,428.7127077209082,431.10040283203125,64256100,0.0,0.0,0.0
2023-11-08 00:00:00-05:00,431.7121535397133,432.2449572384038,429.06791758539845,431.4161682128906,61746000,0.0,0.0,0.0
2023-11-09 00:00:00-05:00,432.58042247667765,432.61989722419514,427.617534368303,428.0516662597656,83174400,0.0,0.0,0.0
2023-11-10 00:00:00-05:00,430.16312245397853,435.04706099695903,428.0417838788153,434.7313232421875,89462200,0.0,0.0,0.0
2023-11-13 00:00:00-05:00,433.36971148476186,435.4416687532535,432.57052108453655,434.31689453125,52236100,0.0,0.0,0.0
2023-11-14 00:00:00-05:00,440.3651926697647,444.05528384451947,440.13825049677587,442.7430419921875,97176900,0.0,0.0,0.0
2023-11-15 00:00:00-05:00,444.10452295675975,445.35759761945803,442.81200366199363,443.6802673339844,77327600,0.0,0.0,0.0
2023-11-16 00:00:00-05:00,443.22645784072364,444.54857579795816,442.1411281413791,444.2229919433594,66665800,0.0,0.0,0.0
2023-11-17 00:00:00-05:00,444.2328327968495,445.3971119753364,443.29552588017333,444.7755126953125,83133200,0.0,0.0,0.0
2023-11-20 00:00:00-05:00,444.5189437463778,449.0575757129549,444.50906753290735,448.1991882324219,69936200,0.0,0.0,0.0
2023-11-21 00:00:00-05:00,447.13361651229604,448.0709535543675,445.9298926789875,447.222412109375,49244600,0.0,0.0,0.0
2023-11-22 00:00:00-05:00,448.90962152566186,450.2909365615612,447.8341680294828,448.9490661621094,59394900,0.0,0.0,0.0
2023-11-24 00:00:00-05:00,448.9983992423272,449.42265489531326,448.66293918342603,449.2253112792969,29737400,0.0,0.0,0.0
2023-11-27 00:00:00-05:00,448.5839747342788,449.4127636951756,448.0215725467536,448.416259765625,50506000,0.0,0.0,0.0
2023-11-28 00:00:00-05:00,448.02159479363024,450.1823779494953,447.44934647450293,448.8602600097656,62115000,0.0,0.0,0.0
