Timestamp,Open,Low,High,Close,Volume
2019-11-10 23:00:00+00:00,1.08322,1.08242,1.08376,1.08312,2472
2019-11-11 00:00:00+00:00,1.08311,1.08149,1.08314,1.08159,5892
2019-11-11 01:00:00+00:00,1.0816,1.08082,1.08175,1.08088,9512
2019-11-11 02:00:00+00:00,1.08088,1.07981,1.08089,1.08024,6653
2019-11-11 03:00:00+00:00,1.08024,1.07984,1.08048,1.08023,4932
2019-11-11 04:00:00+00:00,1.08023,1.07982,1.08023,1.07984,3161
2019-11-11 05:00:00+00:00,1.07983,1.07971,1.0802,1.07996,3499
2019-11-11 06:00:00+00:00,1.07997,1.07936,1.08006,1.07974,5688
2019-11-11 07:00:00+00:00,1.07974,1.0797,1.08024,1.08007,6080
2019-11-11 08:00:00+00:00,1.08007,1.07949,1.08022,1.07956,8201
2019-11-11 09:00:00+00:00,1.07956,1.0779,1.07958,1.07829,11058
2019-11-11 10:00:00+00:00,1.0783,1.07761,1.0783,1.0778,6516
2019-11-11 11:00:00+00:00,1.07779,1.07731,1.07793,1.07745,7935
2019-11-11 12:00:00+00:00,1.07745,1.07663,1.07777,1.07753,10656
2019-11-11 13:00:00+00:00,1.07753,1.07679,1.07753,1.07691,6015
2019-11-11 14:00:00+00:00,1.0769,1.07662,1.07721,1.0768,6988
2019-11-11 15:00:00+00:00,1.0768,1.07652,1.07743,1.07659,8651
2019-11-11 16:00:00+00:00,1.07658,1.07639,1.07674,1.0766,4908
2019-11-11 17:00:00+00:00,1.0766,1.07643,1.0769,1.0766,3311
2019-11-11 18:00:00+00:00,1.07662,1.07622,1.07676,1.07622,2031
2019-11-11 19:00:00+00:00,1.07622,1.07599,1.07653,1.07636,2393
2019-11-11 20:00:00+00:00,1.07637,1.07635,1.07701,1.07699,1508
2019-11-11 21:00:00+00:00,1.077,1.07653,1.0771,1.07662,2093
2019-11-11 22:00:00+00:00,1.07666,1.07609,1.07699,1.07618,1562
2019-11-11 23:00:00+00:00,1.07619,1.07594,1.07663,1.07623,3371
2019-11-12 00:00:00+00:00,1.07624,1.07564,1.07665,1.07665,6792
2019-11-12 01:00:00+00:00,1.07665,1.07636,1.0773,1.07654,7097
2019-11-12 02:00:00+00:00,1.07647,1.07639,1.08085,1.08069,9665
2019-11-12 03:00:00+00:00,1.08068,1.07976,1.08108,1.08069,7443
2019-11-12 04:00:00+00:00,1.08072,1.07991,1.08088,1.08076,5654
2019-11-12 05:00:00+00:00,1.08076,1.08076,1.08148,1.08119,6845
2019-11-12 06:00:00+00:00,1.08119,1.08089,1.08201,1.08182,8358
2019-11-12 07:00:00+00:00,1.08182,1.08019,1.08211,1.08056,9122
2019-11-12 08:00:00+00:00,1.08056,1.07958,1.08067,1.07959,11798
2019-11-12 09:00:00+00:00,1.07959,1.07937,1.08017,1.08011,9803
2019-11-12 10:00:00+00:00,1.08012,1.07953,1.08041,1.08003,11110
2019-11-12 11:00:00+00:00,1.08003,1.07969,1.08038,1.07997,8589
2019-11-12 12:00:00+00:00,1.07997,1.07966,1.08057,1.08026,8939
2019-11-12 13:00:00+00:00,1.08026,1.08008,1.08106,1.0809,9500
2019-11-12 14:00:00+00:00,1.0809,1.08026,1.08124,1.08035,11026
2019-11-12 15:00:00+00:00,1.08033,1.07957,1.08082,1.08068,11575
2019-11-12 16:00:00+00:00,1.08067,1.08027,1.08083,1.08054,9266
2019-11-12 17:00:00+00:00,1.08053,1.08036,1.08112,1.08051,10014
2019-11-12 18:00:00+00:00,1.08052,1.0802,1.08105,1.08089,5520
2019-11-12 19:00:00+00:00,1.08089,1.08084,1.08154,1.08096,5046
2019-11-12 20:00:00+00:00,1.08097,1.0807,1.08129,1.08111,2307
2019-11-12 21:00:00+00:00,1.08114,1.08035,1.08114,1.08041,2262
2019-11-12 22:00:00+00:00,1.08042,1.07953,1.08065,1.07984,1582
2019-11-12 23:00:00+00:00,1.07987,1.07966,1.08035,1.0797,2760
2019-11-13 00:00:00+00:00,1.0797,1.07822,1.07976,1.07838,10384
2019-11-13 01:00:00+00:00,1.07832,1.06777,1.0784,1.06942,29659
2019-11-13 02:00:00+00:00,1.06944,1.06699,1.06944,1.06754,12129
2019-11-13 03:00:00+00:00,1.06754,1.06738,1.07003,1.06991,10043
2019-11-13 04:00:00+00:00,1.06991,1.06926,1.07029,1.06935,5272
2019-11-13 05:00:00+00:00,1.06935,1.06906,1.07014,1.06929,5308
2019-11-13 06:00:00+00:00,1.06929,1.06894,1.07004,1.06917,9583
2019-11-13 07:00:00+00:00,1.06918,1.06826,1.06966,1.06833,7488
2019-11-13 08:00:00+00:00,1.06833,1.06815,1.06908,1.06895,9503
2019-11-13 09:00:00+00:00,1.06894,1.06718,1.06928,1.06756,10990
2019-11-13 10:00:00+00:00,1.06755,1.06747,1.06927,1.06836,8815
2019-11-13 11:00:00+00:00,1.06836,1.06779,1.06848,1.06833,6637
2019-11-13 12:00:00+00:00,1.06833,1.06757,1.069,1.06897,8802
2019-11-13 13:00:00+00:00,1.06898,1.06652,1.06906,1.0666,9940
2019-11-13 14:00:00+00:00,1.06661,1.06629,1.06723,1.06693,10780
2019-11-13 15:00:00+00:00,1.06693,1.06671,1.06799,1.06722,10727
2019-11-13 16:00:00+00:00,1.0672,1.06677,1.06742,1.06712,6309
2019-11-13 17:00:00+00:00,1.06712,1.06625,1.06729,1.06641,5896
2019-11-13 18:00:00+00:00,1.06642,1.06534,1.06649,1.06616,4131
2019-11-13 19:00:00+00:00,1.06615,1.06509,1.06631,1.066,5716
2019-11-13 20:00:00+00:00,1.066,1.06572,1.06635,1.0661,2695
2019-11-13 21:00:00+00:00,1.0661,1.06584,1.06664,1.06653,2612
2019-11-13 22:00:00+00:00,1.06646,1.06554,1.06686,1.0658,2171
2019-11-13 23:00:00+00:00,1.0658,1.06546,1.0663,1.06617,5402
2019-11-14 00:00:00+00:00,1.06615,1.06274,1.06667,1.06309,16632
2019-11-14 01:00:00+00:00,1.06308,1.06285,1.0637,1.06309,11552
2019-11-14 02:00:00+00:00,1.06309,1.06246,1.0638,1.0634,12866
2019-11-14 03:00:00+00:00,1.06339,1.06303,1.06376,1.06371,6306
2019-11-14 04:00:00+00:00,1.06371,1.06316,1.06389,1.06318,5915
2019-11-14 05:00:00+00:00,1.06319,1.06316,1.06418,1.06396,6862
2019-11-14 06:00:00+00:00,1.06395,1.06309,1.06406,1.06335,7302
2019-11-14 07:00:00+00:00,1.06334,1.06268,1.0636,1.06312,10782
2019-11-14 08:00:00+00:00,1.06313,1.06271,1.06365,1.06329,11909
2019-11-14 09:00:00+00:00,1.06328,1.06248,1.06395,1.06252,9502
2019-11-14 10:00:00+00:00,1.0625,1.06156,1.06293,1.06204,9331
2019-11-14 11:00:00+00:00,1.06204,1.06087,1.0623,1.06094,7958
2019-11-14 12:00:00+00:00,1.06094,1.06055,1.06228,1.06188,7603
2019-11-14 13:00:00+00:00,1.06187,1.06155,1.06298,1.0619,10801
2019-11-14 14:00:00+00:00,1.06193,1.06183,1.06342,1.06269,9495
2019-11-14 15:00:00+00:00,1.06269,1.06237,1.06397,1.06343,12036
2019-11-14 16:00:00+00:00,1.06343,1.06296,1.06397,1.06365,10150
2019-11-14 17:00:00+00:00,1.06365,1.06365,1.06444,1.06433,5097
2019-11-14 18:00:00+00:00,1.06436,1.06426,1.06552,1.06544,3458
2019-11-14 19:00:00+00:00,1.06544,1.06527,1.06663,1.06592,3736
2019-11-14 20:00:00+00:00,1.06592,1.06521,1.066,1.06539,2717
2019-11-14 21:00:00+00:00,1.06539,1.06323,1.06563,1.06342,3181
2019-11-14 22:00:00+00:00,1.06343,1.06273,1.0641,1.064,2322
2019-11-14 23:00:00+00:00,1.06397,1.06315,1.06427,1.06361,5907
2019-11-15 00:00:00+00:00,1.06361,1.06338,1.06438,1.06425,9453
2019-11-15 01:00:00+00:00,1.06425,1.06287,1.06439,1.06364,10134
2019-11-15 02:00:00+00:00,1.06364,1.06295,1.06435,1.06305,9007
2019-11-15 03:00:00+00:00,1.06306,1.06303,1.0641,1.06392,6554
2019-11-15 04:00:00+00:00,1.06391,1.06351,1.06399,1.06399,3575
2019-11-15 05:00:00+00:00,1.06399,1.06347,1.06408,1.06354,5039
2019-11-15 06:00:00+00:00,1.06354,1.06318,1.06389,1.06375,6051
2019-11-15 07:00:00+00:00,1.06375,1.06317,1.06408,1.0634,6165
2019-11-15 08:00:00+00:00,1.06339,1.06245,1.06388,1.0638,8717
2019-11-15 09:00:00+00:00,1.06378,1.06351,1.06466,1.06376,8811
2019-11-15 10:00:00+00:00,1.06376,1.06305,1.06496,1.06313,6560
2019-11-15 11:00:00+00:00,1.06313,1.06308,1.06458,1.06383,9051
2019-11-15 12:00:00+00:00,1.06384,1.06346,1.06451,1.06367,7303
2019-11-15 13:00:00+00:00,1.06368,1.06331,1.06408,1.06355,7566
2019-11-15 14:00:00+00:00,1.06355,1.06325,1.06408,1.06353,8844
2019-11-15 15:00:00+00:00,1.06354,1.06293,1.06426,1.064,11369
2019-11-15 16:00:00+00:00,1.064,1.06348,1.06434,1.06367,6153
2019-11-15 17:00:00+00:00,1.06366,1.06341,1.06424,1.06399,4667
2019-11-15 18:00:00+00:00,1.06398,1.06398,1.06474,1.06467,2029
2019-11-15 19:00:00+00:00,1.06467,1.06373,1.0648,1.06466,2330
2019-11-15 20:00:00+00:00,1.06467,1.06444,1.06503,1.0646,1002
2019-11-15 21:00:00+00:00,1.06461,1.06431,1.06544,1.06439,1251
2019-11-17 23:00:00+00:00,1.06442,1.06442,1.06498,1.06476,4168
2019-11-18 00:00:00+00:00,1.06476,1.06461,1.06558,1.06533,8762
2019-11-18 01:00:00+00:00,1.06534,1.06474,1.06548,1.06535,8209
2019-11-18 02:00:00+00:00,1.06536,1.06512,1.06572,1.06514,8096
2019-11-18 03:00:00+00:00,1.06514,1.06406,1.06529,1.06425,6014
2019-11-18 04:00:00+00:00,1.06425,1.06385,1.06425,1.0641,3573
2019-11-18 05:00:00+00:00,1.0641,1.06397,1.0645,1.06432,6441
